grid_id,Num. Bldgs,Sum Bldg Footprint (m2),Sum Bldg Volume (m3),geometry,area_cell,centerpoint,dist2center,DistGroup,group_mean,group_SD,cutoff,isCenter_dist,isCenter_regional,isCenter_regional_dist,contig_group,type
172816,480,236780.5070818948,2711161.0431242557,"POLYGON ((4576000 3104000, 4576000 3105000, 4577000 3105000, 4577000 3104000, 4576000 3104000))",1000000.0,POINT (13.640960853782529 50.99457493815244),7778.174593052023,7-8,457457.3268218968,559727.7703993298,1017185.0972212267,True,True,True,0,subcenter
174058,934,250066.21412973845,2454798.239375637,"POLYGON ((4589000 3106000, 4589000 3107000, 4590000 3107000, 4590000 3106000, 4589000 3106000))",1000000.0,POINT (13.827395698869537 51.00656209407338),7382.4115301167,7-8,457457.3268218968,559727.7703993298,1017185.0972212267,True,True,True,1,subcenter
177771,1096,286040.1911752573,3961940.351285942,"POLYGON ((4583000 3112000, 4583000 3113000, 4584000 3113000, 4584000 3112000, 4583000 3112000))",1000000.0,POINT (13.746361598151399 51.063204450614464),1581.1388300841897,1-2,1843517.5334964292,900673.121794882,2744190.6552913114,True,True,True,2,subcenter
179031,1252,211946.3310931584,2270334.924890522,"POLYGON ((4581000 3114000, 4581000 3115000, 4582000 3115000, 4582000 3114000, 4581000 3114000))",1000000.0,POINT (13.71930692983138 51.0820726982335),3535.5339059327375,3-4,1154323.3272271708,703667.8852640083,1857991.2124911791,True,True,True,3,subcenter
180285,1301,188812.24156194867,1342854.85380429,"POLYGON ((4578000 3116000, 4578000 3117000, 4579000 3117000, 4579000 3116000, 4578000 3116000))",1000000.0,POINT (13.677969390138738 51.101387550573),6519.202405202649,6-7,468117.1440485891,500057.29410405905,968174.4381526482,True,True,True,4,subcenter
180905,257,206657.99660808613,1684624.7186602622,"POLYGON ((4572000 3117000, 4572000 3118000, 4573000 3118000, 4573000 3117000, 4572000 3117000))",1000000.0,POINT (13.593095266067564 51.113044435344285),11510.864433221339,11-12,193947.08949041294,350508.4564197232,544455.5459101362,True,True,True,5,subcenter
180918,276,119501.84470083,1496314.02266304,"POLYGON ((4585000 3117000, 4585000 3118000, 4586000 3118000, 4586000 3117000, 4585000 3117000))",1000000.0,POINT (13.778526350851834 51.10715559413892),6964.19413859206,6-7,468117.1440485891,500057.29410405905,968174.4381526482,True,True,True,6,subcenter
182165,211,111126.95302419741,1403345.4009495073,"POLYGON ((4581000 3119000, 4581000 3120000, 4582000 3120000, 4582000 3119000, 4581000 3119000))",1000000.0,POINT (13.722922582428419 51.12694986265977),8514.693182963201,8-9,362749.50094832276,465682.9459815059,828432.4469298287,True,True,True,7,subcenter
182168,285,150861.76516337672,1597877.5632655735,"POLYGON ((4584000 3119000, 4584000 3120000, 4585000 3120000, 4585000 3119000, 4584000 3119000))",1000000.0,POINT (13.765727847003497 51.125569267150965),8631.338250816034,8-9,362749.50094832276,465682.9459815059,828432.4469298287,True,True,True,8,subcenter
