param,bike,walk,transit,bike_p,walk_p,transit_p,city
Country[T.France],-1.042252552589837,-0.8622061722579413,-0.8167400070736219,3.7811727747228135e-37,9.273988559197268e-48,1.1817887233680016e-93,All
Country[T.Germany],1.5378893502719488,-0.0817034969951578,-0.2395381696260952,2.2781891535767223e-81,0.1895438282421461,9.631974895360452e-09,All
Country[T.Spain],-2.9771060565280028,-1.2639077083917925,-0.4494095225682457,3.465134679703826e-187,3.492222201435049e-88,1.1836186428556249e-22,All
Sex,-0.1397066178333316,0.1146894562007424,0.4125660896085423,2.0253943172794184e-10,9.394486547466533e-14,3.353118255548433e-216,All
Age,-0.0003687185422277,-0.0027646770270431,-0.0054866950960674,0.685405930905234,0.000997266212405,1.1573795102860701e-15,All
CarOwnershipHH,-2.5213696225098854,-2.356279427201541,-2.895472241843518,0.0,0.0,0.0,All
Trip_Distance,-0.0003025534138075,-0.0016576623822703,1.7325381724483658e-05,0.0,0.0,9.008691467011626e-62,All
HHSize,0.1305649457660442,-0.0017863394565737,0.0274952857640477,1.1248651420690802e-45,0.7669531454710885,3.7349610997465535e-06,All
Trip_Purpose_Agg[T.Home↔Leisure],0.903850236088728,1.5377632581535454,1.387994093403677,1.6061705871642632e-99,0.0,0.0,All
Trip_Purpose_Agg[T.Home↔School],0.8580953669816095,1.2961858131403756,1.7204331538465911,5.947513423306289e-73,6.252319314426428e-306,0.0,All
Trip_Purpose_Agg[T.Home↔Shopping],0.2634911679037568,0.7221343939297614,0.8960605955382412,3.806229790999508e-09,1.1395263675794441e-153,6.553701341343055e-138,All
Trip_Purpose_Agg[T.Home↔Work],1.454842976892324,0.788992196440818,1.6810303221556238,9.271627177317087e-267,5.536442676022199e-140,0.0,All
Trip_Purpose_Agg[T.Other],0.3317502821653196,0.5400268932852625,1.1200516296273888,9.364071967629029e-05,2.5881320860188893e-27,4.12710975784467e-105,All
DistCenter_res,-0.0134249852847439,-0.0091015690176429,-0.0123479808136232,9.352715390926344e-05,4.230309410163085e-06,3.2314290491802054e-12,All
DistSubcenter_res,-0.0206371947996304,-0.0179637713155792,0.0039320702108904,0.0127427859235884,3.332924487665841e-06,0.2645678528374728,All
UrbPopDensity_res,0.003919889730802491,0.004154462343529086,0.003455353812493121,1.7020960457983338e-51,4.8737941236552507e-178,1.6519873300581167e-158,All
UrbBuildDensity_res,-0.0007692635517422586,0.004447723294596522,0.006774534283980705,0.6398313230813243,4.907071470121084e-08,4.866833716948384e-28,All
IntersecDensity_res,0.0044406364672031,0.007030563265981,0.0051639985969594,9.057197042088356e-07,6.168947260487994e-53,1.8452832722446237e-36,All
street_length_res,0.003413769399746,0.0038288631265284,0.0049447064901877,3.657185803180255e-06,3.2656188301108616e-11,1.9842135670847043e-28,All
bike_lane_share_res,0.013436724156897992,0.0030135474866317857,0.0045556796592192425,8.286524777297042e-41,0.0001012480045239,4.5343295473380427e-10,All
transit_accessibility_res,4.243983049837724e-05,4.406523901575814e-05,8.734318321367262e-05,8.396573364451395e-06,5.3828074950448164e-17,2.6447115404587678e-76,All
LU_UrbFab_res,-0.004264488979135695,-0.004070818904825771,-0.002880295759534766,1.9345137847770757e-07,2.9514119588124363e-14,2.308517595922905e-09,All
LU_Comm_res,-0.002312278739836457,0.0077637166895487665,0.006983184829256196,0.047314679889855,3.222925983064713e-22,1.722730936740694e-21,All
