Ori_geo_unit,Share_Distance_2_3_Wheel,Share_Distance_Bike,Share_Distance_Car,Share_Distance_Foot,Share_Distance_Transit
30732,,0.03969073960256615,0.8870936130988623,0.03614593142237201,0.03706971587619965
30734,0.17650255072763246,,0.7808268260871141,2.7870900431988383e-05,0.042642752284821506
30735,,0.002881871652880501,0.8541761952715529,0.004616056773236051,0.1383258763023306
30736,,0.003564746493781121,0.9962730265676675,0.00016222693855136425,
30740,,0.020491193479518707,0.6875150400193154,0.03729729887045839,0.25469646763070747
30741,,,0.6767167993058499,3.602960436648026e-06,0.32327959773371334
30821,0.004078358039643592,0.006022522353035743,0.6382288037593684,0.0066173001887568595,0.34505301565919533
31201,,0.01195829262064754,0.676151199415917,0.0038540380130078363,0.3080364699504277
31206,,,0.9820148200755955,,0.017985179924404644
31214,,0.050638073347665305,0.6465842806398984,0.0040425451987919515,0.2987351008136444
31235,0.0002242006668572551,7.587411909617385e-05,0.8551825677698023,0.018448167152001347,0.12606919029224298
31701,,,0.8347377826037595,,0.16526221739624053
31702,0.04199557477062026,,0.5244111856585646,0.00422829359544615,0.4293649459753689
31704,0.00018756926262089826,0.019809542624703372,0.5559593762776505,0.020692588589361068,0.4033509232456642
31711,,,1.0,,
31716,,0.005388335806161908,0.8785665066479114,0.023765719677802655,0.09227943786812398
31719,,0.020158007312259914,0.7147755291079347,0.03410523914625159,0.23096122443355374
31723,,0.004243367761064383,0.9131931465622265,0.004895776555199125,0.07766770912151
31725,,0.011674135090360563,0.9537718506743313,0.0018979385232591407,0.03265607571204895
31952,0.0028254492419436832,0.02548405314084949,0.5955429356350825,0.027067557961586625,0.3490800040205377
32144,,0.01661579301659524,0.6407061212339804,0.010124163195758389,0.3325539225536659
90101,0.02258157726887787,0.014973073758162932,0.20352982119233168,0.034685770012955,0.7242297577676725
90201,0.002763471682667922,0.03849185195440224,0.34888102058095155,0.06670544575417202,0.5431582100278063
90301,0.004139296054105005,0.019524609369001817,0.46147626081817755,0.0323195838297078,0.4825402499290079
90401,0.004068184052473196,0.02832418938447264,0.37104952395124674,0.07350245586240925,0.5230556467493982
90501,0.007511376523098522,0.03196924973155188,0.34893638300804136,0.04377185478669124,0.567811135950617
90601,0.0025571174072484353,0.012020383256068804,0.34579555414343693,0.04743494470623136,0.5921920004870145
90701,0.0007240004343367837,0.025972483147664534,0.15463793194962847,0.04802483640609877,0.7706407480622715
90801,,0.007896188086451737,0.41581446723221116,0.0792813476759654,0.49700799700537174
90901,0.012148201557277846,0.04022077111281571,0.2632927495776676,0.031139286124590205,0.6531989916276487
91001,,0.007615180896273393,0.4385552019364609,0.05590666031173627,0.4979229568555294
91101,0.002507641667891498,0.029759075764075712,0.49163347062626395,0.04280399187653405,0.4332958200652347
91201,0.0031461687429788516,0.01290264678160836,0.19373225613599127,0.05424744180201472,0.7359714865374067
91301,0.0014316505379091396,0.022528122210302426,0.5155310029245772,0.04447019115069679,0.4160390331765145
91401,0.011073658195751415,0.0009335906508457265,0.41633216790068367,0.03830123993499875,0.5333593433177205
91501,0.0024135973925562344,0.00873683619792302,0.394232533754782,0.05468453003835021,0.5399325026163885
91601,0.004451282624064716,0.018445779156922498,0.28280954107948625,0.05816003830170592,0.6361333588378206
91701,0.011673093341946564,0.024587851543272497,0.3688504073412258,0.11029484606852329,0.4845938017050318
91801,0.01932142153533352,0.01415842297247385,0.2869094763796898,0.053023005217495874,0.626587673895007
91901,0.02626659509582489,0.016663240220473486,0.5554734675108802,0.02992971282018363,0.37166698435263784
92001,0.018322051948247705,0.028375970066907518,0.4047031319205306,0.033078032304612516,0.5155208137597017
92101,0.0048742304226682175,0.013598433964361032,0.5060860372720396,0.03465260205312861,0.44078869628780254
92201,0.012385737127548707,0.02122220754489314,0.625226142235233,0.01773748996220968,0.32342842313011544
92301,0.00253829297917391,0.014705116211530013,0.5663047136584152,0.024958224891128655,0.39149365225975225
